City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,aljezur,37.3191,-8.8033,19.39,85,100,2.42,PT,1686522614
144,soc trang,9.6033,105.98,26.43,85,82,2.28,VN,1686522614
145,winterset,41.3308,-94.0138,21.01,66,96,6.33,US,1686522615
146,dien bien phu,21.3833,103.0167,22.47,99,99,0.2,VN,1686522615
147,anadyr,64.75,177.4833,6.28,81,40,6.0,RU,1686522615
148,okha,53.5739,142.9478,4.85,95,100,0.55,RU,1686522615
149,guerrero negro,27.9769,-114.0611,18.35,69,1,6.08,MX,1686522615
150,cabo san lucas,22.8909,-109.9124,35.34,31,0,5.14,MX,1686522355
151,lagoa,39.05,-27.9833,18.16,81,84,7.35,PT,1686522615
152,mata-utu,-13.2816,-176.1745,27.52,81,60,7.03,WF,1686522615
153,mugumu,-1.85,34.7,16.45,87,99,1.48,TZ,1686522616
154,griffith,41.5284,-87.4237,14.27,92,100,10.29,US,1686522616
155,lawas,13.764,121.0566,27.38,84,100,0.54,PH,1686522616
156,hjo,58.3013,14.2878,14.45,54,0,3.21,SE,1686522616
157,tofol,5.3248,163.0078,29.88,74,75,7.2,FM,1686522616
158,ilulissat,69.2167,-51.1,3.01,87,75,4.12,GL,1686522616
159,sisimiut,66.9395,-53.6735,2.9,89,92,10.69,GL,1686522616
160,bubaque,11.2833,-15.8333,27.79,79,88,7.07,GW,1686522617
161,undurkhaan,47.3194,110.6556,17.37,53,49,0.89,MN,1686522617
162,tarawa,1.419,172.984,30.05,74,75,2.06,KI,1686522617
163,karratha,-20.7377,116.8463,21.06,45,0,7.12,AU,1686522617
164,happy valley-goose bay,53.3168,-60.3315,15.17,58,40,8.23,CA,1686522611
165,haiku-pauwela,20.9219,-156.3051,30.01,45,20,8.23,US,1686522617
166,panaba,21.2833,-88.2667,30.71,71,12,5.63,MX,1686522617
167,irbit,57.6705,63.071,2.77,81,4,2.94,RU,1686522617
168,las khorey,11.1595,48.1967,32.46,62,100,1.41,SO,1686522617
169,manicore,-5.8092,-61.3003,25.34,86,44,1.31,BR,1686522618
170,vorgashor,67.5833,63.95,-0.57,83,100,7.87,RU,1686522618
171,kikvidze,50.7416,43.0518,11.43,78,100,9.41,RU,1686522618
172,hammerfest,70.6634,23.6821,7.25,70,20,14.4,NO,1686522618
173,taoudenni,22.6783,-3.9836,35.22,10,0,5.19,ML,1686522618
174,kalkaman,51.9525,76.0211,17.63,52,3,3.5,KZ,1686522618
175,tamanrasset,22.785,5.5228,23.95,46,40,2.57,DZ,1686522618
176,constantia,44.1833,28.65,16.5,90,76,3.45,RO,1686522618
177,whitehorse,60.7161,-135.0538,16.43,29,100,8.23,CA,1686521903
178,dawei,14.0833,98.2,25.8,85,100,1.95,MM,1686522619
179,howard springs,-12.497,131.047,21.95,77,3,3.66,AU,1686522619
180,leua,48.2156,18.6071,13.11,90,40,2.15,SK,1686522619
181,kone,-21.0595,164.8658,24.97,47,8,1.99,NC,1686522619
182,ust-tsilma,65.441,52.1498,0.88,84,17,1.39,RU,1686522619
183,mugia,43.1041,-9.2179,16.76,87,18,2.09,ES,1686522619
184,barah,13.7,30.3667,27.23,60,48,4.57,SD,1686522619
185,hasaki,35.7333,140.8333,20.22,93,100,2.51,JP,1686522620
186,broken hill,-31.95,141.4333,11.99,54,5,2.52,AU,1686522620
187,cozumel,20.5083,-86.9458,32.04,79,75,5.66,MX,1686522620
188,tiaret,35.371,1.317,20.69,49,0,0.0,DZ,1686522620
189,tabou,4.423,-7.3528,23.96,88,94,2.71,CI,1686522620
190,stanley,54.868,-1.6985,16.52,89,0,1.03,GB,1686522620
191,ninotsminda,41.2646,43.5916,9.02,83,21,2.62,GE,1686522620
192,vanimo,-2.6741,141.3028,27.98,74,100,5.12,PG,1686522620
193,aksu,41.1231,80.2644,26.62,19,65,1.94,CN,1686522621
194,nicoya,10.1483,-85.452,27.86,84,93,2.2,CR,1686522621
195,nagqu,31.5,92.0,1.52,86,61,2.59,CN,1686522621
196,itamaraca,-7.7478,-34.8256,24.03,97,22,1.3,BR,1686522621
197,santa ana de yacuma,-13.75,-65.4333,29.97,66,40,2.06,BO,1686522621
198,arno,60.1167,18.6333,10.99,68,3,4.09,SE,1686522622
199,qamdo,31.1667,97.2333,1.75,94,100,1.66,CN,1686522622
200,ndibene dahra,15.3338,-15.4766,33.96,24,81,4.83,SN,1686522622
201,qulsary,46.9531,54.0198,25.95,20,100,4.37,KZ,1686522622
202,chernyshevskiy,63.0128,112.4714,4.89,59,55,4.8,RU,1686522622
203,puerto deseado,-47.7503,-65.8938,4.4,62,15,12.63,AR,1686522622
204,tacuarembo,-31.7333,-55.9833,4.68,53,0,1.6,UY,1686522622
205,praia da vitoria,38.7333,-27.0667,20.14,83,20,2.19,PT,1686522622
206,amga,60.8953,131.9608,21.24,53,67,2.93,RU,1686522622
207,santa cruz,-17.8,-63.1667,13.03,94,100,6.69,BO,1686522332
208,hajjah,15.6943,43.6058,22.41,57,92,1.24,YE,1686522623
209,kapa'a,22.0752,-159.319,28.99,78,40,6.17,US,1686522623
210,zhob,31.3411,69.4481,26.31,23,0,2.07,PK,1686522623
211,la passe,45.5549,-0.8967,22.13,81,7,3.62,FR,1686522623
212,remire-montjoly,4.9167,-52.2667,25.02,94,100,0.0,GF,1686522453
213,utrik,11.2278,169.8474,27.62,83,32,7.63,MH,1686522623
214,hamilton,39.1834,-84.5333,23.05,90,100,4.12,US,1686522623
215,laojunmiao,39.8333,97.7333,18.61,26,0,3.42,CN,1686522624
216,n'zeto,-7.2312,12.8666,22.95,90,100,3.54,AO,1686522624
217,taco pozo,-25.6167,-63.2833,12.39,28,100,2.34,AR,1686522624
218,kerikeri,-35.2268,173.9474,14.95,95,5,0.45,NZ,1686522624
219,lienz,46.8289,12.769,16.05,88,75,1.39,AT,1686522624
220,dalandzadgad,43.5708,104.425,22.48,19,61,2.49,MN,1686522624
221,broome,42.2506,-75.833,28.9,38,20,4.02,US,1686522624
222,egilsstadir,65.2653,-14.3948,12.95,54,0,3.6,IS,1686522624
223,kiunga,-6.1219,141.2906,23.37,99,100,1.3,PG,1686522625
224,amahai,-3.3333,128.9167,26.67,93,99,1.84,ID,1686522625
225,daru,-9.0763,143.2092,25.45,89,99,4.68,PG,1686522625
226,yermolayevo,52.7167,55.8,11.24,60,100,4.59,RU,1686522625
227,tolanaro,-25.0319,46.9987,17.04,94,0,0.0,MG,1686522626
228,lamu,-2.2717,40.902,26.12,85,96,3.53,KE,1686522626
229,aasiaat,68.7098,-52.8699,0.78,96,100,3.09,GL,1686522626
230,susuman,62.7833,148.1667,21.36,39,43,6.65,RU,1686522626
231,belo sur tsiribihina,-19.7,44.55,17.96,95,3,2.12,MG,1686522626
232,malabar,-33.9667,151.25,9.27,88,75,4.63,AU,1686522626
233,wysokie mazowieckie,52.9166,22.5171,12.23,72,2,3.99,PL,1686522485
234,pajapan,18.25,-94.7,30.09,61,100,3.88,MX,1686522626
235,crane,31.3974,-102.3501,37.44,10,0,1.62,US,1686522627
236,illizi,26.4833,8.4667,34.89,14,0,0.93,DZ,1686522627
237,yelizovo,53.1873,158.3805,16.08,47,0,2.0,RU,1686522627
238,araguaina,-7.1911,-48.2072,26.06,70,68,1.4,BR,1686522627
239,vilhena,-12.7406,-60.1458,27.12,65,20,2.06,BR,1686522627
240,kilindoni,-7.9139,39.6668,26.46,70,6,6.19,TZ,1686522627
241,enewetak,11.3474,162.3373,27.95,80,97,7.17,MH,1686522627
242,lebu,-37.6167,-73.65,10.2,72,40,10.72,CL,1686522628
243,south hedland,-20.4089,118.5983,16.96,67,0,3.09,AU,1686522628
244,ain bessem,36.2933,3.6732,17.74,73,0,0.62,DZ,1686522628
245,mount pearl,47.5166,-52.7813,8.25,97,100,8.75,CA,1686522628
246,morant bay,17.8815,-76.4093,31.51,86,21,1.65,JM,1686522628
247,mando,10.7167,6.5667,23.01,92,100,2.79,NG,1686522628
248,kloulklubed,7.0419,134.2556,26.28,78,98,5.4,PW,1686522628
249,pisco,-13.7,-76.2167,22.03,64,0,7.72,PE,1686522629
250,ribeira brava,32.65,-17.0667,21.67,83,34,2.71,PT,1686522029
251,nyurba,63.2842,118.3319,6.0,57,100,4.53,RU,1686522629
252,simanggang,1.2472,111.4528,23.99,100,100,0.0,MY,1686522629
253,sungai raya,0.7,108.9,27.74,82,100,5.51,ID,1686522629
254,namtsy,62.7161,129.6658,18.06,79,100,4.68,RU,1686522629
255,panacan,9.2463,118.4082,27.07,91,100,2.04,PH,1686522629
256,pacific grove,36.6177,-121.9166,19.08,77,0,7.2,US,1686522629
257,chabahar,25.2919,60.643,29.83,76,83,3.17,IR,1686522630
258,phalodi,27.1333,72.3667,32.35,46,0,10.79,IN,1686522630
259,iskateley,67.6803,53.1512,3.48,60,100,3.69,RU,1686522630
260,nova sintra,14.8667,-24.7167,21.46,86,5,10.88,CV,1686522630
261,aripuana,-9.1667,-60.6333,27.25,68,99,0.37,BR,1686522370
262,reedley,36.5963,-119.4504,29.56,44,0,2.57,US,1686522630
263,college,64.8569,-147.8028,20.32,37,75,4.63,US,1686522630
264,ankazoabo,-22.2833,44.5167,16.08,94,0,3.08,MG,1686522631
265,bitkine,11.9801,18.2138,27.5,60,83,2.1,TD,1686522631
266,nueva villa de padilla,24.0167,-98.7833,34.61,32,0,2.76,MX,1686522232
267,mandiana,10.6333,-8.6833,25.79,80,80,2.39,GN,1686522631
268,nkhotakota,-12.9274,34.2961,20.58,61,0,2.21,MW,1686522631
269,nago,26.5881,127.9761,26.24,86,99,2.4,JP,1686522631
270,morton,46.7722,-101.2615,24.13,37,0,2.57,US,1686522631
271,muroto-misakicho,33.2833,134.15,21.94,98,100,0.75,JP,1686522631
272,port isabel,26.0734,-97.2086,35.05,65,0,4.92,US,1686522632
273,natal,-5.795,-35.2094,24.36,100,75,4.12,BR,1686522307
274,san antonio de pale,-1.4014,5.6325,24.65,87,93,5.34,GQ,1686522632
275,tura,25.5198,90.2201,22.71,94,99,1.42,IN,1686522632
